id,Warmtevraag,share,Peak heat demand (kW),lon,lat,addresses,nr_addresses,year_construction
0503100000018882,12163160.766698759,0.0014929169916186166,7.7496991485568465,84464.13759999999,445335.9098,Multatuliweg 77,1,1966
0503100000018883,10885364.322120503,0.001336079138322816,6.935557314167136,84466.5336,445330.24639999995,Multatuliweg 79,1,1966
0503100000018884,10946173.421165124,0.0013435429003292583,6.974301537986066,84468.4508,445325.71560000005,Multatuliweg 81,1,1966
0503100000018892,9956730.441172272,0.0012220978034993817,6.343882721144487,84523.5238,445356.63039999997,Louis Couperuslaan 16,1,1966
0503100000018893,11120210.251759317,0.0013649043331463665,7.085188264203318,84529.18179999999,445359.032,Louis Couperuslaan 18,1,1966
0503100000018894,10903165.45477722,0.0013382640649157484,6.94689921988056,84534.8398,445361.434,Louis Couperuslaan 20,1,1966
0503100000018895,10832727.784633916,0.0013296184836705449,6.9020201984809235,84540.4978,445363.8356,Louis Couperuslaan 22,1,1966
0503100000018896,11668329.203794949,0.0014321809327587452,7.4344196077146405,84488.0828,445360.488,Willem Kloospad 6,1,1966
0503100000018897,11224397.200838504,0.001377692330408647,7.151570475707119,84484.0958,445365.546,Willem Kloospad 4,1,1966
0503100000018899,11012339.612840576,0.0013516641965710563,7.016459007506192,84570.8447142857,445205.4607142857,Frederik van Eedenlaan 40,1,1966
0503100000018901,11282300.1687419,0.0013847993913368231,7.188463072102657,84559.6668,445203.3382,Frederik van Eedenlaan 36,1,1966
0503100000018902,10839991.3219572,0.0013305100165950194,6.906648126212002,84554.9578,445201.33219999995,Frederik van Eedenlaan 34,1,1966
0503100000018903,12193192.60494094,0.001496603125713304,7.768833789273939,84595.6682,445225.08040000004,Frederik van Eedenlaan 54,1,1966
0503100000018904,11780189.62883175,0.001445910779172051,7.505690937370854,84593.3012,445230.6586,Frederik van Eedenlaan 52,1,1966
0503100000018905,10444386.87864212,0.001281953181187408,6.654590665463968,84586.871,445238.85099999997,Frederik van Eedenlaan 48,1,1966
0503100000018906,11452030.008939672,0.001405632180385351,7.296605620186593,84584.205,445242.852875,Frederik van Eedenlaan 46,1,1966
0503100000018907,13531034.161353698,0.001660810968557117,8.621233076720824,84642.3708,445238.3996,Frederik van Eedenlaan 70,1,1966
0503100000018908,10621372.846026791,0.0013036765936337888,6.767356419946368,84632.9946,445234.4096,Frederik van Eedenlaan 66,1,1966
0503100000018909,11922123.27601108,0.0014633318391761715,7.596123275296431,84628.3064,445232.41459999996,Frederik van Eedenlaan 64,1,1966
0503100000018910,10613156.377635995,0.0013026680971165593,6.7621213367871755,84623.61799999999,445230.4192,Frederik van Eedenlaan 62,1,1966
0503100000018911,9938685.865976907,0.0012198829965563167,6.332385707193109,84614.2418,445226.429,Frederik van Eedenlaan 58,1,1966
0503100000018912,12166424.583975025,0.0014933175954059655,7.751778673973971,84609.5538,445224.434,Frederik van Eedenlaan 56,1,1966
0503100000018979,13627949.897209221,0.0016727064907481966,8.682982469830684,84573.7948,445209.357,Frederik van Eedenlaan 42,1,1966
0503100000018980,10255919.571293812,0.0012588205390311649,6.534509630665282,84637.6828,445236.4046,Frederik van Eedenlaan 68,1,1966
